Semaine,Mois,Catégorie,Marque,Prix,Promotion,Réduction_%,Jour_férié,Météo,Ventes_S-1,Stock_début,Ventes
32,8,Alimentaire,Patisen,1600,0,0,0,Pluvieux,99,127,82
50,1,Électroménager,Brandt,35700,1,0,0,Ensoleillé,5,8,6
50,1,Alimentaire,Nestlé,7100,0,0,0,Ensoleillé,54,92,69
14,4,Boissons,Youki,1600,0,0,1,Nuageux,182,286,179
22,6,Alimentaire,Daffé,6200,1,25,0,Nuageux,137,311,151
44,11,Boissons,Rani,1600,0,0,0,Ensoleillé,118,252,111
13,4,Électroménager,Moulinex,108600,0,0,0,Ensoleillé,13,19,12
26,7,Vêtements,Kantamanto,4900,0,0,0,Ensoleillé,34,72,34
40,10,Vêtements,Kente,16100,1,30,0,Nuageux,27,58,28
3,1,Boissons,Coca-Cola,2100,0,0,1,Ensoleillé,107,193,116
37,10,Électroménager,LG,123100,1,15,0,Ensoleillé,9,16,9
1,1,Vêtements,Kente,7600,1,30,0,Pluvieux,26,50,24
33,9,Alimentaire,Nestlé,4200,1,15,0,Ensoleillé,145,344,118
44,11,Vêtements,Kente,23400,0,0,0,Ensoleillé,14,22,18
26,7,Électroménager,LG,90900,0,0,0,Nuageux,9,14,9
11,3,Vêtements,Dakar Mode,3700,1,0,0,Nuageux,31,66,30
36,9,Électroménager,Samsung,190900,0,0,0,Très chaud,5,8,5
13,4,Alimentaire,Patisen,6400,0,0,0,Nuageux,62,78,78
41,11,Hygiène,Dettol,3300,1,30,0,Très chaud,49,99,48
5,2,Hygiène,Dettol,3700,0,0,0,Très chaud,49,120,41
14,4,Électroménager,Hisense,179700,1,10,0,Très chaud,10,22,10
17,5,Vêtements,Kente,20500,0,0,0,Pluvieux,20,49,26
48,12,Vêtements,Kantamanto,20700,1,30,0,Nuageux,21,44,23
19,5,Vêtements,Dakar Mode,8300,1,5,0,Très chaud,24,43,32
20,5,Boissons,Rani,1300,1,0,0,Nuageux,123,211,142
49,1,Alimentaire,Kirène,6500,0,0,0,Très chaud,27,64,36
37,10,Boissons,Youki,2100,1,5,0,Ensoleillé,105,166,123
1,1,Vêtements,Afriq Style,22000,1,10,0,Très chaud,18,28,17
28,7,Boissons,Coca-Cola,1000,0,0,0,Très chaud,201,423,162
17,5,Alimentaire,Kirène,7600,1,15,0,Ensoleillé,154,368,148
10,3,Électroménager,Brandt,193900,0,0,0,Ensoleillé,10,24,9
49,1,Hygiène,Nivea,4900,0,0,0,Nuageux,40,86,40
3,1,Vêtements,Kente,6600,1,5,0,Ensoleillé,15,22,18
45,12,Vêtements,Dakar Mode,24900,1,5,0,Ensoleillé,20,37,18
12,3,Alimentaire,Daffé,1800,0,0,0,Pluvieux,87,158,84
23,6,Vêtements,Kente,15100,1,10,0,Très chaud,40,81,38
15,4,Hygiène,Colgate,2800,0,0,0,Pluvieux,57,114,61
51,1,Alimentaire,Nestlé,6300,0,0,0,Nuageux,62,114,50
13,4,Hygiène,Colgate,4600,0,0,0,Nuageux,59,101,57
16,4,Boissons,Gazelle,2200,0,0,0,Nuageux,124,281,145
18,5,Boissons,Coca-Cola,1900,0,0,0,Nuageux,155,366,168
49,1,Électroménager,Hisense,48600,0,0,0,Nuageux,3,3,4
36,9,Alimentaire,Kirène,7400,0,0,0,Ensoleillé,82,150,88
26,7,Boissons,Coca-Cola,800,0,0,0,Ensoleillé,218,474,186
45,12,Électroménager,LG,113800,0,0,0,Ensoleillé,3,3,4
17,5,Électroménager,Moulinex,29600,1,15,0,Nuageux,14,27,15
22,6,Électroménager,Samsung,48200,0,0,0,Ensoleillé,9,18,10
34,9,Hygiène,Colgate,1600,0,0,0,Très chaud,61,80,52
30,8,Alimentaire,Patisen,1700,0,0,0,Très chaud,74,144,62
11,3,Boissons,Kirène,2100,0,0,0,Nuageux,125,195,121
44,11,Vêtements,Wax & Co,12300,1,15,0,Nuageux,19,25,22
26,7,Vêtements,Afriq Style,9900,0,0,0,Ensoleillé,25,62,33
13,4,Électroménager,Moulinex,33500,0,0,1,Ensoleillé,11,21,12
35,9,Alimentaire,Nestlé,7900,1,5,0,Ensoleillé,81,104,97
40,10,Boissons,Rani,1300,1,15,0,Ensoleillé,112,253,135
14,4,Électroménager,Moulinex,173000,1,0,0,Nuageux,10,19,10
15,4,Alimentaire,Kirène,3600,1,30,0,Ensoleillé,145,276,168
6,2,Hygiène,Colgate,2800,1,10,0,Pluvieux,39,84,45
4,1,Électroménager,LG,127900,1,0,1,Nuageux,4,7,5
52,1,Vêtements,Kente,30800,0,0,0,Pluvieux,16,24,16
5,2,Boissons,Youki,2300,0,0,0,Ensoleillé,113,177,118
43,11,Boissons,Coca-Cola,2600,0,0,0,Ensoleillé,99,131,95
48,12,Boissons,Rani,2300,1,0,0,Nuageux,60,129,63
40,10,Alimentaire,Patisen,7000,0,0,0,Ensoleillé,78,127,67
51,1,Vêtements,Kantamanto,12500,0,0,0,Ensoleillé,15,25,17
25,7,Électroménager,Brandt,164600,0,0,0,Nuageux,7,16,10
24,6,Alimentaire,Daffé,6300,0,0,0,Ensoleillé,152,237,134
26,7,Boissons,Coca-Cola,1900,0,0,0,Très chaud,218,413,185
40,10,Alimentaire,Kirène,3200,0,0,0,Pluvieux,36,85,43
32,8,Vêtements,Kantamanto,23900,0,0,0,Nuageux,33,62,33
49,1,Électroménager,Brandt,144600,0,0,0,Ensoleillé,5,7,5
19,5,Électroménager,Moulinex,151900,0,0,0,Ensoleillé,9,13,13
24,6,Hygiène,Nivea,1100,0,0,0,Pluvieux,68,139,82
47,12,Électroménager,Brandt,59900,1,25,0,Ensoleillé,5,11,6
7,2,Électroménager,Samsung,27100,1,20,0,Pluvieux,7,14,7
1,1,Vêtements,Dakar Mode,22900,0,0,0,Nuageux,16,30,17
34,9,Vêtements,Dakar Mode,25300,1,25,0,Pluvieux,20,38,25
46,12,Alimentaire,Mama,4600,0,0,0,Nuageux,42,73,40
26,7,Électroménager,Hisense,151600,1,25,0,Très chaud,10,19,13
38,10,Électroménager,Samsung,178200,1,5,0,Pluvieux,5,7,5
45,12,Alimentaire,Nestlé,1900,1,0,0,Ensoleillé,47,59,47
43,11,Alimentaire,Patisen,6200,1,5,0,Ensoleillé,72,153,60
40,10,Hygiène,Palmolive,4900,1,25,0,Ensoleillé,86,133,87
47,12,Boissons,Youki,2200,1,0,0,Nuageux,65,84,81
17,5,Alimentaire,Kirène,1500,1,5,0,Nuageux,84,109,107
44,11,Boissons,Youki,600,1,10,0,Ensoleillé,110,144,109
16,4,Hygiène,Nivea,3900,1,25,0,Très chaud,126,257,105
26,7,Alimentaire,Nestlé,7100,0,0,0,Pluvieux,76,160,100
9,3,Hygiène,Palmolive,1600,1,5,0,Pluvieux,43,77,56
42,11,Alimentaire,Patisen,4100,0,0,0,Ensoleillé,55,70,50
15,4,Alimentaire,Daffé,6900,1,20,0,Pluvieux,134,201,127
35,9,Électroménager,LG,150300,0,0,0,Ensoleillé,7,8,9
29,8,Alimentaire,Nestlé,5900,0,0,0,Pluvieux,98,215,79
25,7,Boissons,Rani,2500,0,0,0,Ensoleillé,195,304,187
46,12,Alimentaire,Kirène,2400,0,0,0,Pluvieux,34,59,44
46,12,Hygiène,Nivea,1600,1,25,0,Ensoleillé,60,99,53
5,2,Alimentaire,Kirène,4600,1,0,0,Ensoleillé,61,133,65
17,5,Hygiène,Colgate,4800,1,20,0,Nuageux,103,241,130
3,1,Hygiène,Dettol,2000,1,15,1,Ensoleillé,100,215,83
34,9,Boissons,Youki,1600,0,0,0,Ensoleillé,112,258,143
40,10,Vêtements,Kente,21500,1,5,0,Nuageux,22,47,19
24,6,Hygiène,Dettol,2500,0,0,0,Ensoleillé,97,237,82
51,1,Électroménager,LG,27700,0,0,0,Ensoleillé,6,13,6
29,8,Boissons,Coca-Cola,1700,0,0,0,Nuageux,104,235,139
48,12,Hygiène,Palmolive,2000,1,15,0,Très chaud,28,67,36
32,8,Boissons,Coca-Cola,1200,0,0,0,Pluvieux,88,203,112
14,4,Vêtements,Dakar Mode,14900,1,15,0,Ensoleillé,31,50,41
15,4,Hygiène,Colgate,4400,0,0,0,Très chaud,66,151,74
47,12,Boissons,Youki,2000,1,25,0,Ensoleillé,141,246,116
20,5,Hygiène,Dove,4700,1,5,0,Ensoleillé,90,209,97
16,4,Hygiène,Dettol,1700,1,20,0,Nuageux,96,117,95
29,8,Boissons,Rani,2000,1,10,0,Nuageux,144,215,140
22,6,Vêtements,Kente,5400,1,10,0,Très chaud,32,57,39
30,8,Électroménager,Brandt,177800,1,15,0,Ensoleillé,9,22,11
32,8,Boissons,Gazelle,1200,1,5,0,Nuageux,123,203,156
33,9,Vêtements,Dakar Mode,27200,0,0,0,Ensoleillé,37,54,33
44,11,Alimentaire,Patisen,1800,1,25,0,Nuageux,85,169,81
41,11,Électroménager,Moulinex,127200,1,25,0,Pluvieux,6,11,6
6,2,Électroménager,LG,58600,1,0,0,Ensoleillé,8,17,9
12,3,Boissons,Rani,2000,1,5,0,Ensoleillé,203,358,172
32,8,Hygiène,Dettol,4400,0,0,0,Ensoleillé,78,143,77
28,7,Électroménager,Brandt,41300,0,0,0,Ensoleillé,14,30,13
20,5,Vêtements,Dakar Mode,30300,0,0,0,Très chaud,22,51,29
32,8,Alimentaire,Daffé,2700,1,15,0,Très chaud,92,219,88
12,3,Hygiène,Nivea,1300,1,30,0,Ensoleillé,106,183,94
30,8,Électroménager,Moulinex,113300,0,0,0,Ensoleillé,8,15,9
39,10,Alimentaire,Daffé,1600,0,0,0,Nuageux,56,96,62
35,9,Vêtements,Kente,13200,1,15,0,Ensoleillé,29,37,34
14,4,Électroménager,Hisense,145500,1,0,0,Ensoleillé,11,23,11
20,5,Boissons,Kirène,2400,0,0,0,Nuageux,170,394,175
6,2,Boissons,Youki,1400,0,0,0,Très chaud,77,115,96
26,7,Vêtements,Kantamanto,9200,0,0,0,Ensoleillé,41,74,44
43,11,Électroménager,Samsung,114300,1,30,0,Nuageux,8,14,8
44,11,Boissons,Rani,800,1,5,0,Pluvieux,76,106,69
38,10,Vêtements,Wax & Co,18500,1,5,0,Ensoleillé,16,24,22
26,7,Alimentaire,Daffé,2400,1,25,0,Très chaud,174,359,150
41,11,Électroménager,Moulinex,128400,1,30,0,Très chaud,6,13,7
9,3,Vêtements,Kente,22600,1,15,0,Nuageux,41,66,35
45,12,Hygiène,Dove,2100,0,0,0,Ensoleillé,40,79,38
15,4,Vêtements,Afriq Style,5800,0,0,0,Nuageux,29,41,28
14,4,Électroménager,LG,102500,0,0,0,Nuageux,8,9,9
26,7,Alimentaire,Daffé,6700,0,0,0,Nuageux,155,349,137
50,1,Boissons,Youki,2900,0,0,0,Ensoleillé,99,234,93
25,7,Boissons,Youki,500,0,0,0,Très chaud,131,200,132
52,1,Hygiène,Nivea,900,1,5,0,Très chaud,42,78,37
7,2,Boissons,Coca-Cola,1500,0,0,0,Pluvieux,72,176,83
4,1,Alimentaire,Daffé,6900,0,0,1,Ensoleillé,67,125,63
28,7,Alimentaire,Mama,6100,1,5,0,Ensoleillé,134,205,131
4,1,Électroménager,Brandt,192500,0,0,0,Ensoleillé,5,8,5
50,1,Vêtements,Kantamanto,19800,1,0,0,Ensoleillé,18,34,18
10,3,Alimentaire,Nestlé,1900,0,0,0,Très chaud,57,119,70
3,1,Électroménager,Hisense,56900,1,10,0,Ensoleillé,7,10,7
46,12,Boissons,Rani,800,1,0,0,Ensoleillé,68,87,74
49,1,Boissons,Coca-Cola,1400,1,10,0,Ensoleillé,105,188,122
22,6,Électroménager,Moulinex,175200,0,0,0,Très chaud,10,16,11
22,6,Boissons,Coca-Cola,2300,1,30,0,Ensoleillé,246,537,253
17,5,Boissons,Gazelle,2100,0,0,0,Ensoleillé,221,270,179
20,5,Boissons,Kirène,700,0,0,0,Nuageux,134,304,165
38,10,Boissons,Coca-Cola,900,0,0,0,Ensoleillé,94,155,101
9,3,Alimentaire,Patisen,6400,0,0,0,Ensoleillé,111,204,92
22,6,Boissons,Rani,700,0,0,0,Très chaud,158,357,196
35,9,Électroménager,Brandt,56700,0,0,0,Ensoleillé,7,11,7
20,5,Électroménager,LG,161700,1,20,0,Pluvieux,13,23,11
46,12,Vêtements,Dakar Mode,14100,1,25,1,Ensoleillé,29,46,31
14,4,Boissons,Coca-Cola,2300,1,20,1,Nuageux,229,389,246
5,2,Hygiène,Palmolive,4600,1,30,0,Nuageux,74,94,68
4,1,Boissons,Kirène,2600,1,15,0,Nuageux,111,237,95
37,10,Boissons,Rani,2700,0,0,0,Pluvieux,67,116,90
27,7,Vêtements,Kente,26100,1,30,0,Nuageux,51,116,56
45,12,Vêtements,Kente,5300,0,0,1,Ensoleillé,21,32,22
26,7,Boissons,Coca-Cola,2000,0,0,0,Nuageux,157,313,136
29,8,Électroménager,Hisense,142300,1,0,0,Très chaud,7,15,8
28,7,Hygiène,Palmolive,1500,1,0,0,Nuageux,61,114,79
19,5,Vêtements,Dakar Mode,34100,0,0,0,Ensoleillé,32,39,41
20,5,Vêtements,Wax & Co,13100,0,0,0,Ensoleillé,44,90,39
28,7,Hygiène,Colgate,3200,0,0,0,Nuageux,55,71,73
28,7,Alimentaire,Kirène,3800,0,0,0,Ensoleillé,105,209,130
14,4,Alimentaire,Kirène,5800,0,0,1,Très chaud,122,241,99
32,8,Boissons,Coca-Cola,1000,0,0,1,Nuageux,159,268,200
14,4,Boissons,Coca-Cola,2900,1,15,0,Pluvieux,150,347,130
49,1,Boissons,Kirène,2600,1,20,0,Pluvieux,102,146,100
32,8,Hygiène,Colgate,2100,1,20,0,Ensoleillé,122,223,99
23,6,Boissons,Rani,2800,0,0,0,Nuageux,173,274,173
19,5,Vêtements,Dakar Mode,12400,1,30,0,Ensoleillé,73,171,66
4,1,Hygiène,Palmolive,4300,0,0,0,Pluvieux,35,73,34
48,12,Vêtements,Kantamanto,21900,0,0,0,Pluvieux,15,32,14
31,8,Hygiène,Nivea,1400,0,0,0,Pluvieux,79,155,67
37,10,Vêtements,Kente,17500,1,15,0,Ensoleillé,27,50,23
3,1,Vêtements,Wax & Co,32700,1,25,0,Nuageux,18,22,18
19,5,Alimentaire,Patisen,6000,1,15,0,Pluvieux,130,230,129
36,9,Alimentaire,Kirène,2600,0,0,0,Ensoleillé,109,239,95
45,12,Alimentaire,Kirène,5700,1,30,1,Ensoleillé,100,196,97
52,1,Vêtements,Wax & Co,5000,0,0,0,Nuageux,18,37,18
45,12,Hygiène,Nivea,4700,0,0,0,Pluvieux,33,59,29
5,2,Boissons,Coca-Cola,1100,1,5,0,Très chaud,111,134,98
41,11,Boissons,Gazelle,600,0,0,0,Très chaud,59,74,67
22,6,Boissons,Youki,2400,1,5,0,Ensoleillé,225,401,200
13,4,Boissons,Kirène,2300,1,10,1,Très chaud,184,303,193
15,4,Électroménager,Brandt,91700,0,0,0,Ensoleillé,10,22,9
14,4,Alimentaire,Nestlé,3800,1,20,0,Ensoleillé,148,294,120
41,11,Alimentaire,Mama,6200,0,0,0,Ensoleillé,86,165,74
17,5,Vêtements,Kente,10500,0,0,0,Nuageux,35,52,34
34,9,Alimentaire,Mama,6400,0,0,0,Nuageux,79,104,93
16,4,Hygiène,Nivea,4500,0,0,1,Nuageux,68,151,88
32,8,Vêtements,Dakar Mode,12300,0,0,0,Nuageux,28,65,34
22,6,Boissons,Gazelle,1200,0,0,0,Nuageux,188,347,185
6,2,Boissons,Kirène,2900,0,0,0,Pluvieux,98,143,80
10,3,Boissons,Gazelle,1800,1,20,0,Ensoleillé,184,345,154
20,5,Boissons,Coca-Cola,1300,1,10,0,Pluvieux,143,265,172
28,7,Alimentaire,Nestlé,7500,1,20,0,Ensoleillé,173,388,146
46,12,Alimentaire,Nestlé,3400,0,0,0,Ensoleillé,67,165,54
27,7,Vêtements,Kantamanto,25600,0,0,0,Pluvieux,29,65,25
50,1,Hygiène,Dettol,3700,1,0,0,Nuageux,48,78,42
26,7,Vêtements,Dakar Mode,23200,0,0,0,Pluvieux,34,49,31
11,3,Alimentaire,Kirène,3100,1,10,0,Nuageux,74,153,92
2,1,Hygiène,Dettol,1800,0,0,0,Ensoleillé,42,88,40
25,7,Vêtements,Afriq Style,12500,0,0,0,Nuageux,43,100,36
39,10,Alimentaire,Patisen,3200,1,5,0,Nuageux,62,92,66
8,2,Hygiène,Colgate,4700,0,0,0,Ensoleillé,43,53,45
38,10,Alimentaire,Patisen,4400,1,0,0,Pluvieux,55,110,54
19,5,Boissons,Rani,2300,0,0,0,Ensoleillé,139,269,181
52,1,Alimentaire,Patisen,6400,0,0,0,Pluvieux,48,113,46
16,4,Vêtements,Kantamanto,21800,0,0,0,Très chaud,34,63,29
5,2,Boissons,Rani,2400,0,0,0,Pluvieux,90,115,76
32,8,Alimentaire,Nestlé,1800,0,0,0,Ensoleillé,119,235,105
26,7,Boissons,Rani,900,1,10,0,Ensoleillé,243,333,224
4,1,Boissons,Rani,1000,1,5,0,Nuageux,120,185,97
38,10,Alimentaire,Mama,3400,0,0,0,Nuageux,61,108,62
45,12,Alimentaire,Patisen,7000,0,0,0,Nuageux,51,96,49
49,1,Alimentaire,Patisen,5900,0,0,0,Pluvieux,42,101,47
9,3,Vêtements,Kantamanto,7600,1,20,0,Ensoleillé,49,114,49
13,4,Hygiène,Colgate,2100,1,20,0,Ensoleillé,130,258,118
48,12,Alimentaire,Nestlé,7700,1,20,1,Nuageux,61,93,79
23,6,Alimentaire,Daffé,7200,0,0,0,Ensoleillé,73,127,91
20,5,Alimentaire,Kirène,1800,0,0,0,Ensoleillé,131,271,108
41,11,Électroménager,LG,190600,1,5,0,Nuageux,5,10,5
29,8,Hygiène,Palmolive,4800,0,0,0,Nuageux,71,89,69
21,6,Alimentaire,Kirène,2900,1,15,0,Ensoleillé,118,224,150
38,10,Électroménager,Moulinex,118500,1,10,0,Nuageux,8,17,8
23,6,Hygiène,Palmolive,1900,1,0,0,Nuageux,76,95,71
1,1,Alimentaire,Daffé,7400,0,0,0,Nuageux,47,60,52
11,3,Alimentaire,Kirène,3300,1,5,0,Pluvieux,69,97,87
50,1,Vêtements,Afriq Style,31200,1,15,1,Ensoleillé,42,73,35
51,1,Électroménager,Brandt,145900,0,0,0,Très chaud,5,11,5
49,1,Vêtements,Kente,23500,1,15,1,Très chaud,25,61,22
41,11,Alimentaire,Nestlé,4200,0,0,0,Ensoleillé,62,131,54
49,1,Vêtements,Dakar Mode,29100,1,30,0,Ensoleillé,32,79,31
13,4,Électroménager,Brandt,169300,0,0,0,Pluvieux,9,13,9
21,6,Boissons,Rani,1100,1,25,0,Ensoleillé,406,967,330
11,3,Vêtements,Dakar Mode,13400,0,0,0,Pluvieux,18,42,21
12,3,Alimentaire,Patisen,3600,0,0,0,Ensoleillé,94,172,84
36,9,Hygiène,Dove,3200,0,0,0,Nuageux,93,230,79
18,5,Boissons,Youki,2200,1,15,0,Pluvieux,166,414,168
8,2,Boissons,Rani,2800,1,10,0,Ensoleillé,166,205,137
3,1,Électroménager,LG,183000,0,0,0,Pluvieux,3,4,4
30,8,Hygiène,Colgate,3100,1,30,1,Ensoleillé,136,164,174
8,2,Vêtements,Dakar Mode,10200,1,0,0,Pluvieux,14,18,14
9,3,Électroménager,Moulinex,33600,0,0,0,Ensoleillé,11,23,11
45,12,Vêtements,Afriq Style,8200,1,5,1,Nuageux,25,52,22
2,1,Électroménager,LG,35300,0,0,0,Ensoleillé,4,4,5
39,10,Vêtements,Kantamanto,34600,1,20,0,Ensoleillé,24,41,28
25,7,Alimentaire,Mama,7000,1,15,0,Nuageux,174,390,150
22,6,Boissons,Rani,1900,1,15,0,Nuageux,167,229,188
34,9,Hygiène,Dove,2000,0,0,0,Ensoleillé,57,130,73
41,11,Vêtements,Dakar Mode,28400,0,0,0,Très chaud,13,17,12
9,3,Hygiène,Palmolive,1600,0,0,0,Très chaud,44,92,56
26,7,Vêtements,Kantamanto,15000,1,30,0,Ensoleillé,46,97,56
13,4,Vêtements,Kantamanto,22900,1,0,0,Très chaud,27,67,26
17,5,Vêtements,Dakar Mode,28500,0,0,0,Nuageux,22,36,26
44,11,Alimentaire,Daffé,7000,1,5,0,Nuageux,63,146,68
22,6,Alimentaire,Daffé,4100,1,20,0,Ensoleillé,126,257,155
18,5,Hygiène,Dettol,1700,0,0,0,Pluvieux,62,104,70
49,1,Électroménager,Hisense,87500,0,0,0,Ensoleillé,6,13,5
17,5,Boissons,Coca-Cola,1100,0,0,0,Ensoleillé,172,310,229
36,9,Électroménager,Moulinex,40100,1,15,0,Nuageux,9,13,11
28,7,Électroménager,Moulinex,28800,1,5,0,Pluvieux,7,8,9
25,7,Alimentaire,Mama,4000,0,0,0,Ensoleillé,90,143,121
36,9,Vêtements,Dakar Mode,34300,1,10,0,Pluvieux,17,23,20
40,10,Hygiène,Nivea,1200,1,5,0,Nuageux,64,116,57
26,7,Boissons,Coca-Cola,1600,1,20,0,Nuageux,260,574,253
17,5,Hygiène,Palmolive,4000,0,0,0,Nuageux,106,206,93
11,3,Vêtements,Kente,25900,1,30,0,Ensoleillé,58,95,48
47,12,Alimentaire,Mama,4300,0,0,1,Nuageux,61,83,63
50,1,Hygiène,Palmolive,3500,0,0,0,Ensoleillé,46,87,47
13,4,Hygiène,Nivea,3300,0,0,1,Pluvieux,86,191,70
11,3,Boissons,Gazelle,2100,0,0,0,Nuageux,100,187,82
12,3,Hygiène,Nivea,1600,1,5,0,Ensoleillé,82,176,71
34,9,Alimentaire,Patisen,7400,0,0,0,Très chaud,65,138,66
47,12,Alimentaire,Patisen,6600,1,15,0,Pluvieux,53,64,54
10,3,Boissons,Rani,2700,0,0,0,Pluvieux,117,179,102
27,7,Alimentaire,Nestlé,5400,1,5,0,Très chaud,72,179,88
34,9,Hygiène,Dove,4500,0,0,0,Nuageux,41,52,54
39,10,Hygiène,Palmolive,3500,1,20,0,Ensoleillé,75,124,73
4,1,Alimentaire,Mama,7300,0,0,0,Ensoleillé,35,43,46
17,5,Électroménager,Hisense,182600,1,20,0,Pluvieux,12,21,12
12,3,Électroménager,Brandt,133900,0,0,0,Ensoleillé,11,25,10
50,1,Boissons,Rani,700,0,0,0,Nuageux,55,111,73
27,7,Boissons,Coca-Cola,700,1,0,0,Ensoleillé,171,359,187
24,6,Électroménager,Moulinex,172700,1,30,0,Ensoleillé,17,40,19
31,8,Vêtements,Kantamanto,20200,1,15,0,Ensoleillé,31,37,36
47,12,Boissons,Gazelle,1300,0,0,0,Pluvieux,62,108,53
50,1,Vêtements,Kantamanto,28700,1,25,1,Ensoleillé,35,48,35
16,4,Hygiène,Palmolive,4000,0,0,0,Nuageux,57,114,65
22,6,Alimentaire,Kirène,5400,1,30,0,Pluvieux,139,258,139
36,9,Alimentaire,Kirène,6400,1,30,0,Pluvieux,104,249,107
23,6,Électroménager,Hisense,126900,0,0,0,Ensoleillé,11,15,11
17,5,Alimentaire,Daffé,3400,1,30,0,Nuageux,141,257,156
36,9,Boissons,Coca-Cola,800,0,0,0,Pluvieux,87,184,101
19,5,Alimentaire,Kirène,6700,0,0,0,Nuageux,125,290,113
13,4,Hygiène,Colgate,3500,0,0,0,Pluvieux,61,137,68
37,10,Hygiène,Palmolive,3800,1,5,0,Ensoleillé,55,79,67
12,3,Vêtements,Afriq Style,29500,0,0,0,Nuageux,26,33,28
33,9,Électroménager,Samsung,106900,1,10,0,Ensoleillé,8,19,9
13,4,Boissons,Youki,600,1,15,0,Ensoleillé,163,305,209
17,5,Électroménager,LG,120500,1,0,0,Pluvieux,9,15,9
27,7,Alimentaire,Daffé,5100,0,0,0,Ensoleillé,83,170,93
22,6,Électroménager,Brandt,122700,0,0,0,Ensoleillé,14,22,12
20,5,Boissons,Youki,1000,0,0,0,Nuageux,176,340,188
9,3,Alimentaire,Kirène,7000,0,0,0,Nuageux,105,255,89
26,7,Alimentaire,Mama,6400,1,25,0,Très chaud,89,179,116
45,12,Boissons,Kirène,500,1,15,0,Nuageux,119,176,107
38,10,Alimentaire,Mama,1800,1,5,0,Ensoleillé,76,116,79
29,8,Hygiène,Dove,3700,1,0,0,Nuageux,80,117,73
39,10,Alimentaire,Nestlé,1600,0,0,0,Très chaud,43,55,57
34,9,Hygiène,Nivea,3800,0,0,0,Nuageux,60,101,58
10,3,Électroménager,Brandt,161300,1,20,0,Pluvieux,7,17,9
8,2,Hygiène,Palmolive,3300,1,0,0,Ensoleillé,43,102,37
37,10,Alimentaire,Mama,6100,1,5,0,Nuageux,73,129,76
43,11,Vêtements,Dakar Mode,10600,1,25,0,Pluvieux,17,24,17
22,6,Vêtements,Afriq Style,32400,0,0,0,Ensoleillé,32,55,43
38,10,Vêtements,Kente,20000,1,15,0,Nuageux,26,58,22
20,5,Hygiène,Colgate,4900,0,0,0,Très chaud,78,168,89
52,1,Alimentaire,Nestlé,6900,0,0,0,Pluvieux,35,58,33
39,10,Alimentaire,Kirène,2700,1,25,0,Nuageux,90,187,77
17,5,Boissons,Youki,2900,0,0,0,Nuageux,133,276,161
13,4,Boissons,Rani,1900,1,20,0,Pluvieux,111,135,141
43,11,Électroménager,Brandt,114000,0,0,0,Nuageux,5,6,5
42,11,Boissons,Youki,2700,0,0,0,Ensoleillé,86,167,77
43,11,Vêtements,Kantamanto,18500,1,0,0,Nuageux,14,29,13
1,1,Vêtements,Wax & Co,33000,0,0,0,Nuageux,14,18,14
29,8,Électroménager,Samsung,86500,0,0,0,Nuageux,10,24,9
1,1,Alimentaire,Kirène,7800,0,0,0,Nuageux,53,64,61
